
 
              SubLevel Report                

SubLevel ID  SubLevel Description
-------------  ------------------
         0  Venti's Drink Qualification
         1  Venti's Drink Record Breaker
         2  Venti's Fried Food Qualification
         3  Venti's Fried Food Record Breaker
         4  Venti's Milkshake Qualification
         5  Venti's Milkshake Record Breaker
         6  Venti's Sr. Bacon Cheeseburger Qualification
         7  Venti's Sr. Bacon Cheeseburger Record Breaker
         8  Venti's Son of a Bacon Eater Qualification
         9  Venti's Son of a Bacon Eater Record Breaker
        10  Ardy's Drink Qualification
        11  Ardy's Drink Record Breaker
        12  Ardy's Baked Good Qualification
        13  Ardy's Baked Good Record Breaker
        14  Ardy's Fried Food Qualification
        15  Ardy's Fried Food Record Breaker
        16  Ardy's Spicy Roast Beef Qualification
        17  Ardy's Spicy Roast Beef Record Breaker
        18  Ardy's Turkey, Ranch and Bacon Qualification
        19  Ardy's Turkey, Ranch and Bacon Record Breaker
        20  Jack and the Fox Drink Qualification
        21  Jack and the Fox Drink Record Breaker
        22  Jack and the Fox Milkshake Qualification
        23  Jack and the Fox Milkshake Record Breaker
        24  Jack and the Fox Fried Food Qualification
        25  Jack and the Fox Fried Food Record Breaker
        26  Jack and the Fox Jack's Flamin Chicken Qualification
        27  Jack and the Fox Jack's Flamin Chicken Record Breaker
        28  Jack and the Fox Loaded Breakfast Qualification
        29  Jack and the Fox Loaded Breakfast Record Breaker
        30  Queen Burger Drink Qualification
        31  Queen Burger Drink Record Breaker
        32  Queen Burger Fried Food Qualification
        33  Queen Burger Fried Food Record Breaker
        34  Queen Burger Milkshake Qualification
        35  Queen Burger Milkshake Record Breaker
        36  Queen Burger Double Dropper Qualification
        37  Queen Burger Double Dropper Record Breaker
        38  Queen Burger Big Queen Qualification
        39  Queen Burger Big Queen Record Breaker
        40  McDumbledore's Drink Qualification
        41  McDumbledore's Drink Record Breaker
        42  McDumbledore's Milkshake Qualification
        43  McDumbledore's Milkshake Record Breaker
        44  McDumbledore's Fried Food Qualification
        45  McDumbledore's Fried Food Record Breaker
        46  McDumbledore's Plain Double McBurger Qualification
        47  McDumbledore's Plain Double McBurger Record Breaker
        48  McDumbledore's McTriple Qualification
        49  McDumbledore's McTriple Eater Record Breaker
