
 
              Product Report                

Product ID  Product Description
-------------  ------------------
         0  A Drink with bubbles in it
         1  The other white meat
         2  A cold choclate ice cream
         3  a hamburger with bacon on it
         4  this sandich has bacon
         5  it is a desert...any questions?
         6  The best drink on the planet...order one
         7  Roast Beef on Bread
         8  cheese sticks
         9  bacon on bread
        10  when life gives you a lemon...
        11  it has fruit in it so it is healthy.
        12  Spicy food.
        13  Spicy food with chicken
        14  break your fast
        15  fruity and punchy
        16  ring around the onion
        17  a pinkish milkshake
        18  don't drop it
        19  a meal meant for a queen
        20  Soda with lime but no coconut
        21  it is chocolate ice cream.
        22  the proper way to eat a potato
        23  no connection to a clown
        24  it only has two patties...just kidding
